,ID,var_2,var_276,var_325,var_278,var_275,var_280,var_327,var_63,var_369,var_1,var_279,var_340,var_339,var_165,var_177,var_172,var_168,var_114,var_47,var_105,var_194,Target,var_2_normalizada
0,3,34,0,0,0,0,0,0,1,49278.03,2,0,0.0,0.0,0.0,0.0,300.0,0.0,0,0,3,3,0,0.29896907216494845
1,14,27,0,0,0,0,0,0,1,94956.66,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.2268041237113402
2,18,26,0,0,0,0,0,0,1,251638.95,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,2,0,0.21649484536082475
3,23,25,0,0,0,0,0,0,1,356463.06,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,2,0,0.20618556701030927
4,26,26,0,0,0,0,0,0,1,75368.52,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.21649484536082475
5,29,51,0,0,0,0,3,9,1,122220.09,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,99,0,0.4742268041237113
6,39,36,3,9,3,0,63,189,1,153014.13,2,0,0.0,0.0,3079.05,0.0,0.0,0.0,0,0,0,1,0,0.31958762886597936
7,42,55,3,18,9,3,15,48,1,168943.23,229,3,0.0,0.0,9003.0,0.0,0.0,0.0,0,0,0,1,0,0.5154639175257731
8,60,40,9,15,18,6,9,30,1,78390.81,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.36082474226804123
9,61,23,0,0,0,0,0,0,1,86262.21,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
10,68,24,0,0,0,0,0,0,1,34880.28,2,0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,0,99,0,0.1958762886597938
11,74,23,6,9,9,3,12,36,1,126815.97,2,3,0.0,0.0,67.56,0.0,0.0,0.0,0,0,0,2,0,0.18556701030927836
12,75,14,0,0,0,0,0,0,1,101789.79,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,99,0,0.09278350515463918
13,77,66,0,0,0,0,0,0,1,63324.9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,1,0.6288659793814433
14,80,26,0,0,0,0,0,0,1,123113.46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.21649484536082475
15,88,39,0,3,12,6,3,15,1,117310.979016494,2,3,0.0,0.0,49.02,0.0,0.0,0.0,0,0,0,1,0,0.35051546391752575
16,90,23,0,3,0,0,0,6,1,44631.63,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,3,0,0.18556701030927836
17,91,24,0,0,0,0,0,0,1,75546.15,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.1958762886597938
18,93,22,0,0,0,0,0,0,1,150347.88,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,0,0,0.17525773195876287
19,95,25,0,0,0,0,0,0,1,96674.94,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,99,0,0.20618556701030927
20,106,23,0,0,0,0,0,0,1,155235.3,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
21,107,42,0,6,0,0,3,12,1,43998.48,2,0,0.0,0.0,300.0,0.0,27000.0,0.0,0,0,3,3,0,0.38144329896907214
22,109,24,0,0,6,3,3,12,1,114497.61,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,3,0,0.1958762886597938
23,111,60,0,6,0,0,0,6,1,237000.24,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.5670103092783505
24,115,22,0,0,3,3,0,0,1,76889.91,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,0,0,0.17525773195876287
25,125,26,0,0,0,0,0,3,1,55562.91,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,99,0,0.21649484536082475
26,127,23,0,0,0,0,0,3,1,67685.46,2,0,0.0,0.0,150.0,0.0,0.0,0.0,0,0,0,1,0,0.18556701030927836
27,132,31,0,6,6,0,12,36,1,101700.48,2,0,0.0,0.0,66.63,0.0,0.0,0.0,0,0,0,2,0,0.26804123711340205
28,135,38,0,0,0,0,0,0,1,149904.78,2,0,0.0,0.0,3939.39,0.0,0.0,0.0,0,0,0,1,0,0.3402061855670103
29,137,23,0,0,0,0,0,0,1,51689.55,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
30,139,26,0,0,0,0,0,0,1,191661.84,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.21649484536082475
31,140,25,0,0,0,0,0,0,1,169579.74,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.20618556701030927
32,142,26,0,0,0,0,0,0,1,39305.16,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.21649484536082475
33,143,23,0,0,0,0,0,0,1,41807.67,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.18556701030927836
34,145,24,0,0,0,0,0,0,1,36490.74,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.1958762886597938
35,153,51,12,12,18,6,15,45,1,41508.24,2,6,79291.11,124699.44,0.0,124740.72,0.0,124740.72,3,0,0,1,0,0.4742268041237113
36,156,23,0,0,0,0,0,0,1,117310.979016494,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.18556701030927836
37,157,24,0,0,0,0,0,3,1,117310.979016494,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,99,0,0.1958762886597938
38,161,23,0,0,0,0,0,0,1,190417.68,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
39,170,23,3,6,3,0,6,24,1,101485.23,2,0,0.0,0.0,30.0,0.0,0.0,0.0,0,0,0,2,0,0.18556701030927836
40,172,68,12,72,15,3,81,243,1,117310.979016494,2,3,0.0,0.0,12.03,0.0,0.0,0.0,0,0,0,2,0,0.6494845360824743
41,173,5,0,0,0,0,0,0,1,102074.61,0,0,2118.15,2118.15,0.0,0.0,0.0,2287.59,0,1,0,1,0,0.0
42,175,25,0,0,0,0,0,6,1,48160.14,2,0,0.0,0.0,3090.0,0.0,0.0,0.0,0,0,0,1,0,0.20618556701030927
43,177,72,0,3,0,0,6,21,1,117310.979016494,2,0,0.0,0.0,4287.0,0.0,0.0,0.0,0,0,0,1,0,0.6907216494845361
44,178,23,0,0,0,0,0,0,1,149896.02,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
45,179,25,0,3,0,0,0,3,1,158522.37,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.20618556701030927
46,180,23,0,3,3,0,3,9,1,208818.99,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0.18556701030927836
47,182,56,0,6,0,0,3,12,1,23169.78,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.5257731958762887
48,183,25,0,0,0,0,0,0,1,200807.07,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.20618556701030927
49,186,23,0,3,0,0,0,3,1,64978.32,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
50,193,77,18,3,21,3,0,6,1,49965.87,2,6,0.0,0.0,0.0,0.0,300000.0,0.0,0,0,3,3,0,0.7422680412371134
51,199,42,0,0,0,0,0,0,1,52629.36,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.38144329896907214
52,200,25,0,0,0,0,0,0,1,70804.53,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.20618556701030927
53,202,38,0,0,0,0,0,0,1,117310.979016494,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.3402061855670103
54,206,40,0,3,3,3,6,18,1,75410.37,2,0,0.0,0.0,5220.0,0.0,0.0,0.0,0,0,0,1,0,0.36082474226804123
55,207,76,0,0,0,0,3,9,1,53029.5,2,0,9679.11,15003.33,0.0,15019.29,75000.0,15019.29,3,0,3,2,0,0.7319587628865979
56,212,23,0,0,3,3,0,0,1,59163.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
57,213,55,0,3,12,9,3,9,1,117310.979016494,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.5154639175257731
58,215,54,3,36,18,12,39,123,1,89774.01,8,6,0.0,0.0,3181.17,0.0,0.0,0.0,0,0,0,1,0,0.5051546391752577
59,218,30,0,0,0,0,0,0,1,65978.88,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.25773195876288657
60,221,23,0,0,0,0,0,0,1,185447.22,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.18556701030927836
61,228,31,0,12,0,0,21,69,0,131774.97,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.26804123711340205
62,231,41,0,0,6,6,0,0,1,86507.55,2,0,0.0,0.0,12150.0,0.0,0.0,0.0,0,0,0,2,0,0.3711340206185567
63,232,28,3,0,9,3,0,0,1,64311.36,2,3,0.0,0.0,660.0,0.0,0.0,0.0,0,0,0,1,0,0.23711340206185566
64,236,38,0,0,0,0,0,0,1,69048.78,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,99,0,0.3402061855670103
65,241,45,3,3,9,6,0,6,1,86410.5,2,3,271105.71,300273.48,0.0,300401.55,0.0,300401.55,3,0,0,2,0,0.41237113402061853
66,242,23,0,0,0,0,0,0,1,130432.38,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.18556701030927836
67,244,27,0,0,0,0,0,0,1,108845.91,2,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,3,0,0.2268041237113402
68,253,32,0,6,0,0,6,24,1,101456.79,2,0,0.0,0.0,839.91,0.0,0.0,0.0,0,0,0,1,0,0.27835051546391754
69,258,36,0,0,0,0,0,0,1,89128.44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.31958762886597936
70,265,28,0,3,0,0,0,3,1,91723.26,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,99,0,0.23711340206185566
71,266,34,6,0,6,0,0,0,1,30024.12,2,0,0.0,0.0,21.3,0.0,0.0,0.0,0,0,0,3,0,0.29896907216494845
72,270,55,0,0,3,3,3,12,1,110976.39,2,0,0.0,0.0,1200.0,0.0,600.0,0.0,0,0,3,2,0,0.5154639175257731
